Turismiobjekti nimi,Turismiobjekti kirjeldus,Kategooria,Tüüp,Teemaviited,Turismiobjekti koduleht,Turismiobjektii e-post,Turismiobjekti tel nr,Turismiobjekti aadress,Broneerimise link,Kvaliteedimärgised,Omadused ja üldine varustus,Tärnid,facebook,instagram,tiktok,X,Ettevõtte registrikood,Ettevõtte nimi,Ettevõtte aadress,Ettevõtte telefon,Ettevõtte e-post,Ettevõtte koduleht,Piirkond,Turismipiirkonnad ja kultuuriruumid,Saared,Hooaeg,Hooaja periood,Lahtiolekuaeg,Avatud ajad,Juurdepääsupiirangud,Tubade arv kokku,Voodikohad,Voodikohtade arv kõrghooajal,Voodikohtade arv madalhooajal,Haagissuvila kohtade arv,Telkimiskohtade arv
"""Puhka mönuga""","Saaremaa lõunarannikul ümbritseb Sind lihtne ja lummav loodus, vaikne ja meelirahustav laheäär. Pole järjekordi, pole saginat - siin aeg lihtsalt seiskub. Maja sisekujundusel on kasutatud naturaalseid materjale, jälgitud tänapäeva ja vana talumeeleolu kokkusulavust.Lähedale jäävad matkarajad, discgolf, kalastamisvõimalused on kiviviske kaugusel.Minimaalne ööbimise periood on 3 ööd. Nädalase puhkuse puhul küsi soodsamat hinda!",Majutus,Puhkemaja,,,gert@sky.ee,+372 512 9456,"Kurdlaaru, Saareküla, Saaremaa vald, Saare maakond",https://www.airbnb.co.uk/rooms/11595675?preview_for_ml=true&source_impression_id=p3_1594154081_7,,"Külmutuskapp,Parkimine tasuta,Pesumasin,WC,WIFI",,,,,,12727115.0,RANNAKÜLA PUHKEMAJA OÜ,"Karikakra tee 9, Püünsi küla, Viimsi vald, Harju maakond",,gert@sky.ee,,Lääne-Eesti,,Saaremaa,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,3.0,6.0,0.0,0.0,0.0,0.0
Aadma Külalistemaja,"Tule puhka Hiiumaal – Aadma külalistemaja ootab!
Endine mõisaaida hoone on saanud uue elu ja pakub majutust kuni kümnele inimesele. Ühe magamistoaga külaliskorter on sobiv kuni 4-le ning kahe magamistoaga külaliskorter kuni 6-le inimesele.
Maitsekalt sisustatud korterites on olemas kõik vajalik söögi tegemiseks. Eelneval kokkuleppel saab kasutada eraldi hoones asuvat sauna ja tünnisauna. Õues on võimalus kasutada grilli, välikööki ja lapsed saavad kiikuda. Meie juurde on oodatud ka lemmikloomad.
Külalistemaja asub kõigest 10-minutilise autosõidu kaugusel Käina alevikust ja Kassari poolsaarest.",Majutus,Külalistemaja,Lemmikloomasõbralik,,Aadmamajutus@gmail.com,+372 508 0168,"Aida, Aadma küla, Hiiumaa vald, Hiiu maakond",https://www.booking.com/hotel/ee/aadma-guesthouse,,"Kuivkäimla,Külmutuskapp,Parkimine tasuta,Puhkeala/piknikuplats,WC,WIFI",,,https://www.instagram.com/aadmaguesthouse/,,,10938486.0,Osaühing Suprella,"TAMME, Aadma küla, Hiiumaa vald, Hiiu maakond",+372 5080168,Aadmamajutus@gmail.com,,Lääne-Eesti,,Hiiumaa,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,3.0,10.0,0.0,0.0,0.0,0.0
Aadnieli puhkeküla,"See mõnus puhkeküla Kuressaarest vaid 20 km kaugusel on ümbritsetud loodusega, majutuda on võimalik ka pikemaajaliselt terveks suveks. Puhkamiseks pakume erinevaid võimalusi. Meil on üks puhkemaja, kus on vaid WC, kaks puhkemaja kööginurga ja vannitoaga ning 5 erineva suurusega kämpingmaja. Lisaks on mitmeid erinevaid saunasid - suitsusaun, kümblustünn, puuküttega saun ja infrapunasaun.Tule naudi õue istumisalasid, olemas on ujumisvõimalus, lastele mängualad, catch &amp; release kalastus (vajalik enda varustus) ja muid huvitavaid tegevusi.Tule üksi, lemmiklooma, pere või kogu sõpruskonnaga!",Majutus,"Puhkeküla, karavanid",,https://aadniel.rahvalemmik.com/,info@kiir.ee,+372 58531519,"Mäeniidi, Aula-Vintri küla, Saaremaa vald, Saare maakond",,,"Kuivkäimla,Külmutuskapp,Parkimine tasuta,Pesumasin,Puhkeala/piknikuplats,WC",,https://www.facebook.com/AadnielsHolidayVillage,,,,10155318.0,OÜ Lemmik kaubanduse,"Tehnika tänav 12, Kuressaare linn, Saaremaa vald, Saare maakond",,info@kiir.ee,,Lääne-Eesti,,Saaremaa,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,8.0,35.0,35.0,0.0,0.0,5.0
Aadu turismitalu,"Aadu Turismitalu pakub külastajatele võimalust meenutada omaaegsete ehalkäijate romantikat. Kambrid on sisustatud vastavalt vana-aja hõngule, samas arvestatud kaasaegsete mugavustega.Majas on kasutatud loodussõbralikke ehitusmaterjale, enamasti puitu ja looduslikku kivi, kambrites on püütud säilitada vanad palkseinad.Aadu Turismitalu on vaikne, eraldatud ja omanäoline koht, kus on võimalik puhata kärarikkast linnaelust, ärgata hommikuse linnulaulu saatel ja nautida koos sõpradega mõnusat Saaremaa suve.",Majutus,Kodumajutus,,https://www.aadutalu.ee/,info@aadutalu.ee,+372 5622 2982,"Aadu, Suure-Rootsi küla, Saaremaa vald, Saare maakond",https://www.booking.com/hotel/ee/aaduaida-holiday-farm.et.html,,"Haagissuvila/karavani parkla,Külmutuskapp,Parkimine tasuta,Pesumasin,WC,WIFI",,https://www.facebook.com/AaduTurismitalu,,,,10900584.0,Jaan Rooso FIE,"Aadu, Suure-Rootsi küla, Saaremaa vald, Saare maakond",+372 5093981,info@aadutalu.ee,http://www.aadutalu.ee,Lääne-Eesti,,Saaremaa,Hooajaliselt,1 Mai - 15 Oktoober,Ööpäevaringselt,00:00-24:00,,3.0,0.0,10.0,0.0,0.0,0.0
Aaduaida puhkemaja,"Puhkemaja Aaduaida asub Aadu turismitalu külalistemaja ühes otsas eraldi sissekäiguga privaatse õuealaga.Sobib perepuhkuseks. Teisel korrusel on kaks magamistuba. Ühes, rõduga toas on voodi kahele inimesele ja lahtikäiv diivan ühele. Teises toas on voodid neljale inimesele, neist voodi kahele on kardinaga eraldatud. Allkorrusel on elutuba kööginurgaga, WC ja duširuum. Köögist avaneb uks terassile. Maja lähedal on olemas grillimiskoht. Autoga on võimalik parkida maja kõrvale.Suveperioodil on võimalik Aadu turismitalus tellida hommikusööki.Hind sõltub inimeste arvust ja viibitud ajast.",Majutus,Puhkemaja,,http://www.aadutalu.ee/accommodation/aaduaida-puhkemaja/?lang=1,info@aadutalu.ee,+372 56222982,"Aadu, Suure-Rootsi küla, Saaremaa vald, Saare maakond",https://www.booking.com/hotel/ee/aaduaida-holiday-house.et.html,,"Külmutuskapp,Parkimine tasuta,WC,WIFI",,,,,,10900584.0,Jaan Rooso FIE,"Aadu, Suure-Rootsi küla, Saaremaa vald, Saare maakond",+372 5093981,info@aadutalu.ee,http://www.aadutalu.ee,Lääne-Eesti,,Saaremaa,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,2.0,4.0,0.0,0.0,0.0,0.0
Aadukivi puhkemaja,"Mere lähedal asuv puhkemaja Aadukivi sobib perepuhkuse veetmiseks.Rookatusega majas on köik vajalik – dušš, WC, kööginurk, televiisor. Esimesel korrusel on lahtikäiv diivanvoodi. Avatud teisel korrusel on voodid 4 inimesele. Maja ees oleval terrassil saab päikest võtta, võrkkiiges raamatut lugeda ja nautida Saaremaa suve. Grillimisnurk paikneb maja lähedal tuulevaikses kohas. Autoga on võimalik parkida maja kõrval.Puhkemaja asub Aadu turismitalu peamajast umbes 50 meetri kaugusel, kus suveperioodil on võimalus tellida hommikusööki.Puhkemaja rendi hind sõltub inimeste arvust ja viibitud ajast.",Majutus,Puhkemaja,,https://www.aadutalu.ee/accommodation/aadukivi-puhkemaja/?lang=1,info@aadutalu.ee,+372 5622 2982,"Aadu, Suure-Rootsi küla, Saaremaa vald, Saare maakond",https://www.booking.com/hotel/ee/aaduaida-holiday-farm.et.html,,"Külmutuskapp,Parkimine tasuta,WC,WIFI",,,,,,10900584.0,Jaan Rooso FIE,"Aadu, Suure-Rootsi küla, Saaremaa vald, Saare maakond",+372 5093981,info@aadutalu.ee,http://www.aadutalu.ee,Lääne-Eesti,,Saaremaa,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ööpäevaringselt,00:00-24:00,,2.0,6.0,0.0,0.0,0.0,0.0
Aare kodumajutus Kaevuri majas,"Majutus kuni 15-le külalisele kokku 3 toas. Kööginurk, dušš ja WC on kas toas või kahe toa peale.  Osad toad rõduga. NB Kõik toad on II korrusel.
Suur aed, grill, lõkkeplats, karavanikohad, telkimine, saun, õuemängud, jalgrattad, jalgrattahooldusjaam, paranduskoda, muuseumituba, välinäitus. Meil on märgis Matkajasõbralik. Mõtestame oma tegevusi, et vähendada meie ökoloogilist jalajälge.
Võimalus osaleda tegemistel koos pererahvaga või tellida seltskondlik töötuba (käsitöö, leivategu, kokteilivalmistamine, aiatööd, retked kaevandusmäkke ja lähiümbruses, juhendatud saunateenus vms).
Vaata: aare.ee",Majutus,Kodumajutus,"Lemmikloomasõbralik,Peresõbralik,Telkimisplatsid",http://aare.ee/,aare@aare.ee,+372 515 0818,"Kastani tn 7/1, Tammiku alevik, Jõhvi vald, Ida-Viru maakond",https://aare.ee/majutus/,,"Gruppide toitlustus,Haagissuvila/karavani parkla,Kuivkäimla,Külmutuskapp,Parkimine tasuta,Peretoad,Pesumasin,Puhkeala/piknikuplats,Saun,Toitlustus,WC,WIFI",,https://www.facebook.com/KaevuriMaja,,,,10661607.0,Aare Rebban,"Kastani tänav 7, Tammiku alevik, Jõhvi vald, Ida-Viru maakond",+372 5150818,aare@aare.ee,,Põhja-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,,,,3.0,0.0,15.0,15.0,4.0,10.0
Aasa Külalistemaja,"Kas tead laulu Viljandi paadimehest?Sellesama maalilise järve kaldal, ranna vahetus läheduses, asub romantiline Aasa Külalistemaja. Oma armsa peamaja renoveerimisel oleme arvestatud võimalikult palju vana maja eripäraga ja seda ka säilitanud. Külalistemajast leiad hubased kahe- ja kolmekohalised toad, kusjuures iga tuba on unikaalne ja omanäoline.Alates 2021. aasta suvest pakume majutust ka uues kolme toaga hoovimajas, millede rõdudelt avaneb vaade maalilisele Viljandi järvele. Hoone esimesel korrusel asub peosaal, mis sobib hästi väiksematele seltskondadele seminaride ja pidude pidamiseks.",Majutus,Külalistemaja,,https://www.aasakylalistemaja.ee,info@aasakylalistemaja.ee,+372 434 5188,"Aasa tn 6, Viljandi linn, Viljandi maakond",https://www.booking.com/hotel/ee/aasa-ka1-4lalistemaja.et.html?aid=333369&label=aasa-ka1-4lalistemaja-tFhJep6d%2ABsjp0J0NfwcQQS384359668936%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-45921739083%3Alp9061559%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcLgEXIAJSu2fIX5Olt3Yyo&sid=50789faf248f5941d970959e0ec14913&dest_id=-2626515&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1734079884&srpvid=a7953e42326b01d4&type=total&ucfs=1&,,"Külmutuskapp,Parkimine tasuta,Seminariruum,WIFI",,https://www.facebook.com/aasakylalistemaja,,,,11134695.0,Aasatiim OÜ,"Aasa tn 6, Viljandi linn, Viljandi maakond",+372 502 2916,info@aasakylalistemaja.ee,http://www.aasakylalistemaja.ee,Lõuna-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,10.0,20.0,0.0,0.0,0.0,0.0
Aasa Puhkemajad Pärnumaal,"Ideaalse asukohaga Aasa Puhkemaja Pärnumaal pakub ööbimist kahes puhkemajas keset kaskedega puisniitu.
Asukoht on ideaalne Edela-Eestiga tutvujale, sest Lottemaa, Viljandi, Nigula raba, Soomaa Rahvuspark kui ka Pärnu lahe rannik jäävad meist lühikese autosõidu kaugusele.Puhkemajad sobivad nii peo pidamiseks kui ka looduse nautimiseks.
Ärge ehmuge, kui hommikusöögi ajal jalutab metskits akna alt mööda. Ka kukeseenemets pole kaugel. Pakume ka suitsusauna koos kümblustünniga lisatasu eest.
Ootame puhkama!",Majutus,Puhkemaja,,http://www.aasapuhkemajad.eu,info@aasapuhkemajad.eu,+372 55615508,"Aasa, Kärsu küla, Saarde vald, Pärnu maakond",,,"Külmutuskapp,Parkimine tasuta,WC,WIFI",,https://www.facebook.com/aasapuhkemajad/,,,,10550368.0,VÄINO LILLE AASA TALU,"Kärsu küla, Saarde vald, Pärnu maakond",,vaigalill8@gmail.com,http://www.aasapuhkemajad.eu/,Lääne-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,6.0,0.0,0.0,0.0,0.0,0.0
Aaviku Puhkemajad,"Aaviku Puhkemajad koosnevad kahest eraldi kompleksist, Kuressaare linnas asub hoovimaja ja Kuressaarest 13 km Vätta poole Vanamõisa külas on talukompleks. Kuressaares paiknevas hoovimaja on sobilik kahe eraldi seltskonna majutamiseks.",Majutus,Puhkemaja,,,loortsi@hot.ee,+372 511 4753,"Transvaali tn 62, Kuressaare linn, Saaremaa vald, Saare maakond",,,"Külmutuskapp,Parkimine tasuta,WC,WIFI",,,,,,10742659.0,Aavik & Ko OÜ,"Loortsi küla, Vanamõisa küla, Saaremaa vald, Saare maakond",+372 5176107,loortsi@hot.ee,http://www.hot.ee/l/loortsi,Lääne-Eesti,,Saaremaa,Hooajaliselt,1 Mai - 30 September,Ainult ettetellimisel,,,3.0,6.0,0.0,0.0,0.0,0.0
